	CD34	CD16	c.Kit	EPCR	Flk2	CD150	CD48	Lin	Sca1
HSPC_001	0.60377964340575	0.432282640141788	1.35095353348226	1.52355235593568	0.361887246925603	0.303644019792969	0.435924120426937	0.298984315347108	1.31799001780574
HSPC_002	0.365294875978085	0.592308153102386	1.1668189997467	1.55757712203065	0.398533001606801	0.180233042600183	0.341396913663502	0.49223204558704	1.51377371915992
HSPC_003	1.16883500112798	0.310306982001114	1.27166023250633	0.179660863907708	0.222545679956332	0.270868905828577	1.40056401204731	0.419496411602858	0.639142522423783
HSPC_004	0.723453735987614	0.509824355279308	1.28902539867477	0.104764490674198	0.738282348641734	0.17461465501192	1.0903352115515	0.507049672062828	0.536324109542523
HSPC_006	0.780626588379236	0.224497075676066	0.861357382014651	0.190939878598818	0.712436413310259	0.476737098022749	1.19074718139515	0.314093718354616	0.569948280278449
HSPC_008	0.830347528902142	0.598407050646829	1.24146458559929	1.40693291599614	0.482678631081308	0.232279217051771	0.378113554342851	0.257323284825501	1.26049536621472
HSPC_009	0.893177046951543	0.396238990769713	1.43408786317951	0.111076248675238	0.729609658968113	0.279183465445816	1.0771162287797	0.533557357244423	0.897319785530657
HSPC_011	0.60890013567633	0.429538766159424	1.00413059331743	0.130520793720215	0.567625294434798	0.209599728459214	1.13123229987933	0.863995682751178	0.866316784212452
HSPC_012	0.658955076808805	0.277476876530933	1.10302391167607	0.136422542452856	0.463223920897858	0.228602587217287	1.45121638126239	0.512122631464862	0.655309117033155
HSPC_014	0.700631430023896	0.996193156975889	1.0320306212291	1.33762766270747	0.233477215251399	0.444794095169995	0.576682684609688	0.337078048957587	0.91684574072154
HSPC_015	0.864533689766245	0.767872567680498	1.21442051614996	1.38789807877551	0.590440594550087	0.278674039250751	0.337449661578655	0.312693549589345	0.729605873417985
HSPC_016	0.697817029585354	0.612378381073867	1.15286156090154	0.164343571343906	0.590659100926596	0.300408646694494	1.1027952746562	0.610595858295843	0.621613704365297
